01jan, 45J1, 32T2f, 51P1f, 63O0, 21X3f, 34C1, 14Z0, 15L0
24oct, 45O1, 73T1, 21J3, 13L0, 11Z1f, 23C3, 61X2, 16P3
25oct, 73T1, 45P1, 16O1, 21J3, 13L0, 11Z1f, 23C3, 61X2
26oct, 61T3, 74P2, 16O1, 21J3, 13L0, 11Z1f, 23C3, 53X2
27oct, 73T1, 16O1, 21J3, 13L0, 11Z1f, 23C3, 61X2, 45P3f
28oct, 16O1, 73X2, 21J3, 13L0, 23C3, 54P2, 11Z1f, 61T1f
29oct, 45O1, 73T1, 16P1, 21J3, 13L0, 11Z1f, 23C3, 61X2
30oct, 14J2, 31C1, 61T3, 74L3, 11O0, 33X0f, 25P0f, 43Z0
31oct, 14J2, 31C1, 61T3, 74L3, 11O0, 25P0, 33X0f, 43Z0
01nov, 14J2, 45X3f, 11P0f, 31O0, 74L3, 25C0, 51Z0, 53T2
02nov, 11P0, 14J2, 45X3f, 31O0, 74L3, 25C0, 51Z0, 53T2
03nov, 31P0f, 14J2, 45X3f, 74L3, 11O0, 25C0, 51Z0, 53T2
04nov, 14J2, 45X3f, 31P0, 74L3, 11O0, 25C0, 51Z0, 53T2
05nov, 14J2, 45X3f, 31P0, 43T2f, 74L3, 11O0, 25C0, 51Z0
06nov, 53X2f, 14J2, 25O0, 73T1, 34Z0, 11L1, 22P3, 41C1
07nov, 14J2, 25O0, 53X1f, 74L3, 64Z1, 41C1, 32T2, 11P3f
08nov, 53X3f, 74L3, 64Z1, 41C1, 32T2, 11P3f, 15O0, 24J2f
09nov, 53X3f, 74L3, 14J0f, 64Z1, 25P0f, 41C1, 11O1, 13T0f
10nov, 53X3f, 74L3, 14J0f, 64Z1, 25P0f, 41C1, 11O1, 13T0
11nov, 11X3, 35L3, 43C2, 63P0f, 65T2, 31J3, 12Z1f, 14O0
12nov, 11X3, 35L3, 63P0f, 65T2, 31J3, 43C0, 12Z1f, 14O0
13nov, 11X3, 35L3, 55T2f, 43P0, 31J3, 63C2, 12Z1f, 14O0
14nov, 11X3, 35L3, 55T2f, 63C0, 43P0, 31J3, 12Z1f, 14O0
15nov, 11X3, 35L3, 55T2f, 63O0, 43P0, 31J3, 12Z1f, 14C2
16nov, 11X3, 35L3, 55T2f, 63O0, 14C0, 43P0, 31J3, 12Z1f
17nov, 16C3, 22X3, 12T3f, 51Z0, 54P2, 24L1, 64O0, 11J3
18nov, 23T0, 44C2, 51Z0, 12L1, 64O0, 11J3, 15P2f, 24X0f
19nov, 23T0, 51Z0, 15P2f, 12L1, 64O0, 11J3, 44C0, 24X0f
20nov, 23T0, 44O0, 51Z0, 12L1, 64C2, 11J3, 15P2f, 24X0f
21nov, 23T0, 44O0, 51Z0, 12L1, 64C0, 11J3, 15P2f, 24X0f
22nov, 74L3, 32T3f, 15C2, 51Z0, 11J3, 12O0, 44X2, 53P2f
23nov, 74L3, 32T3f, 51Z0, 15C0, 11J3, 12O0, 44X2, 53P2f
24nov, 12C1, 34P0f, 43X3, 51Z0, 23T1, 55O1, 15L0, 11J3
25nov, 12C1, 43X3, 51Z0, 23T1, 55O1, 15L0, 11J3, 34P0
26nov, 55P1, 12C1, 43X3, 51Z0, 23T1, 34O0, 15L0, 11J3
27nov, 22C2, 21L2, 44X0, 51Z0, 11T3, 15O0, 64P0f, 53J0
28nov, 22C2, 21L2, 44X0, 51Z0, 11T3, 64P0, 15O0, 53J0
29nov, 22C2, 21L2, 44X0, 51Z0, 11T3, 64O0, 15P0f, 53J0
30nov, 15P0, 22C2, 21L2, 44X0, 51Z0, 11T3, 64O0, 53J0
01dec, 11P0f, 31J1f, 33O0, 65T2, 42X3, 14Z0, 15L0, 54C1
02dec, 11P0, 31J1f, 33O0, 65T2, 42X3, 14Z0, 15L0, 54C1
03dec, 31J1f, 11O0, 65T2, 42X3, 14Z0, 15L0, 54C1, 43P2
04dec, 31J1f, 11O0, 65T2, 33P2f, 42X3, 14Z0, 15L0, 54C1
05dec, 44L2, 36X1f, 31T0f, 22P1, 11C0, 34Z1f, 14O0, 63J2f
06dec, 73P2, 42X0f, 45J1, 35L3, 31T0f, 11C0, 22Z0, 14O0
07dec, 42X0f, 45J1, 35L3, 31T0f, 63P2f, 11C0, 22Z0, 14O0
08dec, 42X0f, 45J1, 35L3, 31T0f, 63O0, 11C0, 24P2, 22Z0
09dec, 14P2f, 42X0f, 45J1, 35L3, 31T0f, 63O0, 11C0, 22Z0
10dec, 11X3, 31T0f, 35P1, 16O1, 53L2, 54Z0, 12J0f, 23C1
11dec, 11X3, 14P3, 43C2, 31T0f, 64L3, 16O1, 12Z1f, 63J2f
12dec, 11X3, 14P3, 31T0f, 64L3, 16O1, 43C0, 12Z1f, 63J2f
13dec, 11X3, 14P3, 31T0f, 16O1, 63C2, 54L0, 12Z1f, 43J2
14dec, 11X3, 14P3, 31T0f, 63C0, 16O1, 54L0, 12Z1f, 43J2
15dec, 11X3, 35L3, 31T0f, 63P1f, 14C2, 55O1, 12Z1f, 43J2
16dec, 11X3, 35L3, 31T0f, 63P1f, 14C0, 55O1, 12Z1f, 43J2
17dec, 11X3, 16C3, 14P0f, 31T0f, 43J3, 55O1, 12Z1f, 44L1
18dec, 11X3, 35L3, 31T0f, 43J3, 44C2, 64P2f, 12Z1f, 14O0
19dec, 44C0, 11X3, 35L3, 31T0f, 43J3, 64P2f, 12Z1f, 14O0
20dec, 45J1, 35L3, 22X1, 31T0f, 63P0f, 11C0, 33Z1f, 14O0
21dec, 63P0, 45J1, 35L3, 22X1, 31T0f, 11C0, 33Z1f, 14O0
22dec, 45J1, 14P0f, 35L3, 22X1, 31T0f, 63O0, 11C0, 33Z1f
23dec, 45J1, 35L3, 22X1, 31T0f, 63O0, 11C0, 14P0, 33Z1f
24dec, 31T0, 52Z1f, 25C1, 64P2f, 11J2, 15L0, 22O0, 43X0f
25dec, 31T0, 52Z1f, 33X3, 25P3f, 55O1, 22C0, 11J2, 15L0
26dec, 25O1, 55P1, 31T0, 52Z1f, 33X3, 22C0, 11J2, 15L0
27dec, 53X3f, 31T0f, 55Z1, 22L1, 33C0, 11J2, 15O0, 64P0f
28dec, 53X3f, 15O0, 31T0f, 55Z1, 22L1, 33C0, 11J2, 64P0
29dec, 53X3f, 31T0f, 55Z1, 22L1, 33C0, 11J2, 64O0, 15P0f
30dec, 15P0, 53X3f, 31T0f, 55Z1, 22L1, 33C0, 11J2, 64O0
31dec, 11L0, 21Z1f, 53X3f, 31T0f, 14J0f, 24C0, 64O0, 35P1
